,name,karat,gold_content,buy_price,sell_price,world_price,time
5,VÀNG MIẾNG SJC (Vàng SJC),24k,999.9,11700000,12000000,0,18/04/2025 13:14
12,VÀNG MIẾNG SJC (Vàng SJC),24k,999.9,11700000,12000000,0,18/04/2025 08:59
0,QUÀ MỪNG BẢN VỊ VÀNG (Quà Mừng Bản Vị Vàng),24k,999.9,11650000,11950000,0,18/04/2025 13:14
2,VÀNG MIẾNG VRTL (Vàng Rồng Thăng Long),24k,999.9,11650000,11950000,0,18/04/2025 13:14
4,NHẪN TRÒN TRƠN (Vàng Rồng Thăng Long),24k,999.9,11650000,11950000,0,18/04/2025 13:14
7,VÀNG MIẾNG VRTL (Vàng Rồng Thăng Long),24k,999.9,11650000,11950000,0,18/04/2025 09:00
9,NHẪN TRÒN TRƠN (Vàng Rồng Thăng Long),24k,999.9,11650000,11950000,0,18/04/2025 08:59
6,TRANG SỨC BẰNG VÀNG RỒNG THĂNG LONG 999.9 (Vàng BTMC),24k,999.9,11590000,11940000,0,18/04/2025 13:14
10,TRANG SỨC BẰNG VÀNG RỒNG THĂNG LONG 999.9 (Vàng BTMC),24k,999.9,11590000,11940000,0,18/04/2025 08:59
3,TRANG SỨC BẰNG VÀNG RỒNG THĂNG LONG 99.9 (Vàng BTMC),24k,99.9,11580000,11930000,0,18/04/2025 13:14
11,TRANG SỨC BẰNG VÀNG RỒNG THĂNG LONG 99.9 (Vàng BTMC),24k,99.9,11580000,11930000,0,18/04/2025 08:59
1,VÀNG NGUYÊN LIỆU (Vàng thị trường),24k,999.9,11270000,0,0,18/04/2025 13:14
8,VÀNG NGUYÊN LIỆU (Vàng thị trường),24k,999.9,11270000,0,0,18/04/2025 09:00
